algorithm,seed,obstacle_density,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_events,redundant_target_ratio
path_cost_greedy,4,0.2,True,42,20,597.0,9,33,0,484,0.7682539682539683
path_cost_greedy,5,0.2,True,40,20,583.0,9,17,0,431,0.7183333333333334
path_cost_greedy,6,0.2,True,40,20,577.0,12,23,0,442,0.7366666666666667
path_cost_greedy,7,0.2,True,23,20,336.0,11,9,0,213,0.6173913043478261
path_cost_greedy,8,0.2,True,47,20,672.0,9,33,0,546,0.774468085106383
path_cost_greedy,9,0.2,True,23,20,340.0,11,5,0,204,0.591304347826087
path_cost_greedy,10,0.2,True,45,20,640.0,8,35,0,533,0.7896296296296297
path_cost_greedy,11,0.2,True,31,20,452.0,11,13,0,313,0.6731182795698925
path_cost_greedy,12,0.2,True,34,20,468.0,8,42,0,371,0.7274509803921568
path_cost_greedy,13,0.2,True,48,20,682.0,12,38,0,583,0.8097222222222222
path_cost_greedy,14,0.2,True,36,20,510.0,12,30,0,391,0.7240740740740741
path_cost_greedy,15,0.2,True,29,20,426.0,12,9,0,309,0.7103448275862069
path_cost_greedy,16,0.2,True,17,20,245.0,13,10,0,130,0.5098039215686274
path_cost_greedy,17,0.2,True,31,20,423.0,12,42,0,324,0.6967741935483871
path_cost_greedy,18,0.2,True,26,20,374.0,10,16,0,264,0.676923076923077
path_cost_greedy,19,0.2,True,33,20,465.0,9,30,0,340,0.6868686868686869
path_cost_greedy,20,0.2,True,27,20,402.0,11,3,0,253,0.6246913580246913
path_cost_greedy,21,0.2,True,45,20,631.0,8,44,0,534,0.7911111111111111
path_cost_greedy,22,0.2,True,21,20,311.0,10,4,0,195,0.6190476190476191
path_cost_greedy,23,0.2,True,30,20,444.0,13,6,0,308,0.6844444444444444
path_cost_greedy,24,0.2,True,33,20,469.0,13,26,0,358,0.7232323232323232
path_cost_greedy,25,0.2,True,27,20,394.0,12,11,0,282,0.6962962962962963
path_cost_greedy,26,0.2,True,36,20,533.0,9,7,0,383,0.7092592592592593
path_cost_greedy,27,0.2,True,45,20,642.0,12,33,0,532,0.7881481481481482
path_cost_greedy,28,0.2,True,19,20,275.0,11,10,0,186,0.6526315789473685
path_cost_greedy,29,0.2,True,33,20,488.0,12,7,0,362,0.7313131313131314
