seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
4,3af0054dc9414aaf6a45b6bc788cd265ddb8a3ec64497c131a39c5afe704b59f,hungarian_astar,15,20,0.05,1,24,183.0,13,0,0.0,2.419330892000289
5,5a4ee8efca4de89341aa40e9b818fdba129ab04593b128a79492df94f8a67a92,manhattan_greedy,15,20,0.05,1,25,363.0,10,12,0.6746666666666666,0.17046628299431177
5,5a4ee8efca4de89341aa40e9b818fdba129ab04593b128a79492df94f8a67a92,path_cost_greedy,15,20,0.05,1,25,365.0,10,10,0.6746666666666666,3.8140176929955487
5,5a4ee8efca4de89341aa40e9b818fdba129ab04593b128a79492df94f8a67a92,hungarian_astar,15,20,0.05,1,20,172.0,13,0,0.0,6.763703593998798
6,9d58841cb82ea9bfa1d3f618543b1aa832c065f037c90ff5a7672a64a04609d6,manhattan_greedy,15,20,0.05,1,25,367.0,13,8,0.6693333333333333,0.11184992799826432
6,9d58841cb82ea9bfa1d3f618543b1aa832c065f037c90ff5a7672a64a04609d6,path_cost_greedy,15,20,0.05,1,25,367.0,13,8,0.6693333333333333,3.014943049005524
6,9d58841cb82ea9bfa1d3f618543b1aa832c065f037c90ff5a7672a64a04609d6,hungarian_astar,15,20,0.05,1,20,178.0,12,1,0.0,3.4169837159934104
7,bca7f71c098ebaed795dcfd216c7172b26e352e0cad9f3d1d289b783ae3e0087,manhattan_greedy,15,20,0.05,1,22,324.0,11,6,0.6606060606060606,0.1505433179991087
7,bca7f71c098ebaed795dcfd216c7172b26e352e0cad9f3d1d289b783ae3e0087,path_cost_greedy,15,20,0.05,1,22,324.0,11,6,0.6606060606060606,3.6236869330023183
7,bca7f71c098ebaed795dcfd216c7172b26e352e0cad9f3d1d289b783ae3e0087,hungarian_astar,15,20,0.05,1,22,157.0,13,0,0.0,6.373431193002034
8,731f8e3f0fef7dc74095fddd253fd865bb01f4cb537cf13327d75fa2070e6665,manhattan_greedy,15,20,0.05,1,39,576.0,10,9,0.7316239316239316,1.0010204550053459
8,731f8e3f0fef7dc74095fddd253fd865bb01f4cb537cf13327d75fa2070e6665,path_cost_greedy,15,20,0.05,1,47,691.0,10,14,0.7914893617021277,13.742980199996964
8,731f8e3f0fef7dc74095fddd253fd865bb01f4cb537cf13327d75fa2070e6665,hungarian_astar,15,20,0.05,1,29,205.0,12,2,0.0,12.080583166003635
9,a1269f41553cfe3e883fac6ab402ce9b3d0c59e4ab139e80733b9d6c99beb022,manhattan_greedy,15,20,0.05,1,59,847.0,10,38,0.8361581920903954,0.4808182259948808
9,a1269f41553cfe3e883fac6ab402ce9b3d0c59e4ab139e80733b9d6c99beb022,path_cost_greedy,15,20,0.05,1,59,844.0,10,41,0.8440677966101695,3.889233686000807
9,a1269f41553cfe3e883fac6ab402ce9b3d0c59e4ab139e80733b9d6c99beb022,hungarian_astar,15,20,0.05,1,25,165.0,14,0,0.0,2.7320177870060434
10,f809de791a40274759cad97ec256faa80e354f81ca5dfa23e956125e12b8a5ba,manhattan_greedy,15,20,0.05,1,27,396.0,9,9,0.6814814814814815,0.0723223019958823
10,f809de791a40274759cad97ec256faa80e354f81ca5dfa23e956125e12b8a5ba,path_cost_greedy,15,20,0.05,1,27,396.0,9,9,0.6790123456790124,3.480847694998374
10,f809de791a40274759cad97ec256faa80e354f81ca5dfa23e956125e12b8a5ba,hungarian_astar,15,20,0.05,1,21,165.0,15,0,0.0,1.9060607620049268
11,80a946d5cb0cbdddbe345339ad5b6a63ad025d28dd2ec8fad8695f54751905f6,manhattan_greedy,15,20,0.05,1,16,235.0,10,5,0.5625,0.03505717300140532
11,80a946d5cb0cbdddbe345339ad5b6a63ad025d28dd2ec8fad8695f54751905f6,path_cost_greedy,15,20,0.05,1,16,235.0,10,5,0.5625,1.8205136289980146
11,80a946d5cb0cbdddbe345339ad5b6a63ad025d28dd2ec8fad8695f54751905f6,hungarian_astar,15,20,0.05,1,22,157.0,13,0,0.0,2.147210137998627
12,bfe99981d816c7fab77573c0887e8b3bb2de55abd4878b5e214ca9b2521ca2d6,manhattan_greedy,15,20,0.05,1,18,264.0,13,6,0.5518518518518518,0.04773653300071601
12,bfe99981d816c7fab77573c0887e8b3bb2de55abd4878b5e214ca9b2521ca2d6,path_cost_greedy,15,20,0.05,1,18,264.0,13,6,0.5518518518518518,1.4802781329999561
12,bfe99981d816c7fab77573c0887e8b3bb2de55abd4878b5e214ca9b2521ca2d6,hungarian_astar,15,20,0.05,1,18,151.0,14,0,0.0,1.6223917750030523
13,3f4536cde44d295d70b0e09fec8de8425ed53befa67c0d84b89764ab5672e147,manhattan_greedy,15,20,0.05,1,33,477.0,10,18,0.7171717171717171,0.07033099500404205
13,3f4536cde44d295d70b0e09fec8de8425ed53befa67c0d84b89764ab5672e147,path_cost_greedy,15,20,0.05,1,29,420.0,10,15,0.671264367816092,1.2611301649958477
13,3f4536cde44d295d70b0e09fec8de8425ed53befa67c0d84b89764ab5672e147,hungarian_astar,15,20,0.05,1,29,202.0,14,1,0.0,1.2089289580035256
14,d943b8c33b1509bb41e00ad0cdbc32fd75002778ea14e50198d10f12bcb28aed,manhattan_greedy,15,20,0.05,1,46,674.0,11,16,0.7652173913043478,0.21690800299984403
14,d943b8c33b1509bb41e00ad0cdbc32fd75002778ea14e50198d10f12bcb28aed,path_cost_greedy,15,20,0.05,1,46,674.0,11,16,0.7652173913043478,3.7310178080006153
14,d943b8c33b1509bb41e00ad0cdbc32fd75002778ea14e50198d10f12bcb28aed,hungarian_astar,15,20,0.05,1,30,211.0,12,1,0.0,2.76616696799465
15,37908a44911ec1e1b1482ee22467758b4c6f8b0a221de1bed87097f2ca5ab55c,manhattan_greedy,15,20,0.05,1,22,318.0,12,12,0.6545454545454545,0.03436395800235914
15,37908a44911ec1e1b1482ee22467758b4c6f8b0a221de1bed87097f2ca5ab55c,path_cost_greedy,15,20,0.05,1,22,318.0,12,12,0.6545454545454545,1.1082086020032875
15,37908a44911ec1e1b1482ee22467758b4c6f8b0a221de1bed87097f2ca5ab55c,hungarian_astar,15,20,0.05,1,18,146.0,14,0,0.0,0.8617860750018735
16,3eaa1a5206a828377263774e09813e8bf9e0fa3aba0411332e4a67059ce8c9a1,manhattan_greedy,15,20,0.05,1,37,553.0,10,2,0.781981981981982,0.23701339699618984
16,3eaa1a5206a828377263774e09813e8bf9e0fa3aba0411332e4a67059ce8c9a1,path_cost_greedy,15,20,0.05,1,37,553.0,10,2,0.781981981981982,1.9041713519982295
