algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents,surviving_agents,distance_per_task,distance_per_surviving_agent,tasks_per_surviving_agent
dynamic_pso,8,0.0,0,True,14,20,552.5946957710701,12,15,27.629734788553503,36.839646384738,1.3333333333333333
dynamic_pso,9,0.0,0,True,10,20,390.0449977621038,11,15,19.50224988810519,26.00299985080692,1.3333333333333333
dynamic_pso,10,0.0,0,True,12,20,473.6567243466218,12,15,23.68283621733109,31.577114956441452,1.3333333333333333
dynamic_pso,11,0.0,0,True,12,20,466.21460671257694,11,15,23.310730335628847,31.080973780838463,1.3333333333333333
dynamic_pso,12,0.0,0,True,10,20,396.73913691913486,9,15,19.836956845956742,26.44927579460899,1.3333333333333333
dynamic_pso,13,0.0,0,True,12,20,472.336947714704,13,15,23.616847385735202,31.489129847646936,1.3333333333333333
dynamic_pso,14,0.0,0,True,7,20,266.5354029368625,11,15,13.326770146843126,17.7690268624575,1.3333333333333333
dynamic_pso,15,0.0,0,True,14,20,546.5125723447816,10,15,27.32562861723908,36.43417148965211,1.3333333333333333
dynamic_pso,16,0.0,0,True,11,20,429.7130269983379,12,15,21.485651349916896,28.647535133222526,1.3333333333333333
dynamic_pso,17,0.0,0,True,8,20,300.9965519715706,12,15,15.049827598578531,20.066436798104707,1.3333333333333333
dynamic_pso,18,0.0,0,True,13,20,524.0620590122933,11,15,26.203102950614664,34.93747060081955,1.3333333333333333
dynamic_pso,19,0.0,0,True,12,20,479.4884848613934,9,15,23.97442424306967,31.96589899075956,1.3333333333333333
dynamic_pso,20,0.0,0,True,10,20,399.8190299302655,11,15,19.990951496513276,26.654601995351033,1.3333333333333333
dynamic_pso,21,0.0,0,True,6,20,229.3194530984017,11,15,11.465972654920085,15.287963539893447,1.3333333333333333
dynamic_pso,22,0.0,0,True,11,20,427.1112114239874,13,15,21.35556057119937,28.47408076159916,1.3333333333333333
dynamic_pso,23,0.0,0,True,9,20,354.0928957676008,12,15,17.70464478838004,23.606193051173385,1.3333333333333333
dynamic_pso,24,0.0,0,True,12,20,473.16070308562064,9,15,23.65803515428103,31.54404687237471,1.3333333333333333
dynamic_pso,25,0.0,0,True,8,20,303.6510576375283,11,15,15.182552881876415,20.243403842501888,1.3333333333333333
dynamic_pso,26,0.0,0,True,6,20,235.3802740470153,13,15,11.769013702350765,15.69201826980102,1.3333333333333333
dynamic_pso,27,0.0,0,True,10,20,385.2715234477872,10,15,19.26357617238936,25.68476822985248,1.3333333333333333
dynamic_pso,28,0.0,0,True,8,20,313.6397083347382,12,15,15.68198541673691,20.909313888982545,1.3333333333333333
dynamic_pso,29,0.0,0,True,10,20,394.1888299801647,10,15,19.709441499008236,26.27925533201098,1.3333333333333333
greedy,0,0.2,3,True,12,20,416.1673493232973,9,12,20.808367466164864,34.680612443608105,1.6666666666666667
greedy,1,0.2,3,True,8,20,287.8247590081606,11,12,14.39123795040803,23.985396584013383,1.6666666666666667
greedy,2,0.2,3,True,6,20,213.213277748346,13,12,10.6606638874173,17.7677731456955,1.6666666666666667
greedy,3,0.2,3,True,9,20,315.9047919646601,12,12,15.795239598233005,26.32539933038834,1.6666666666666667
greedy,4,0.2,3,True,9,20,305.43384020141207,12,12,15.271692010070604,25.45282001678434,1.6666666666666667
greedy,5,0.2,3,True,6,20,215.33558540727137,11,12,10.766779270363568,17.944632117272615,1.6666666666666667
greedy,6,0.2,3,True,11,20,379.627636614247,10,12,18.98138183071235,31.635636384520584,1.6666666666666667
greedy,7,0.2,3,True,7,20,250.9092798427734,12,12,12.54546399213867,20.90910665356445,1.6666666666666667
greedy,8,0.2,3,True,10,20,353.04442572672656,10,12,17.652221286336328,29.420368810560547,1.6666666666666667
greedy,9,0.2,3,True,9,20,317.9437033454591,9,12,15.897185167272955,26.49530861212159,1.6666666666666667
